NOME DO ÁLBUM,ARTISTA,COMENTÁRIO
Let It Be,The Beatles,"Uma obra-prima atemporal. Essencial."
Legião Urbana V,Legião Urbana,"Voz e letras poderosas. Um álbum emocionante."
Back to Black,Amy Winehouse,"Uma dor transformada em arte. Voz inconfundível."
Thriller,Michael Jackson,"O rei do pop no auge. Clássicos incontestáveis."
Nevermind,Nirvana,"O grunge que mudou o mundo. Cru e visceral."
OK Computer,Radiohead,"Distópico e inovador. Um marco da música alternativa."
Purple Rain,Prince,"Uma mistura explosiva de funk, rock e pop. Genial."
The Joshua Tree,U2,"Hinos para estádio e letras profundas. Grandioso."
Rumours,Fleetwood Mac,"Um álbum sobre amor, perda e superação. Perfeito."
Born to Run,Bruce Springsteen,"A alma americana em canções. Uma ode à liberdade."
Appetite for Destruction,Guns N' Roses,"Rock n' roll cru e sem concessões. Viciante."
Illmatic,Nas,"Poesia urbana em forma de rap. Um clássico do hip-hop."
The Miseducation of Lauryn Hill,Lauryn Hill,"Um álbum de R&B com letras conscientes e poderosas."
Grace,Jeff Buckley,"Uma voz angelical e interpretações apaixonadas. Inesquecível."
London Calling,The Clash,"Punk rock com influências diversas. Uma declaração política."
Pet Sounds,The Beach Boys,"Uma obra-prima da produção musical. Inovador e melancólico."
Blonde on Blonde,Bob Dylan,"Poesia em estado bruto. Letras complexas e melodias cativantes."
What's Going On,Marvin Gaye,"Um álbum de soul com mensagens sociais importantes."
Blue,Joni Mitchell,"Confessional e intimista. Uma viagem pela alma da artista."
Revolver,The Beatles,"Experimentação sonora e letras inventivas. Psicodelia pura."
Remain in Light,Talking Heads,"Funk, rock e ritmos africanos. Uma explosão de criatividade."
Is This It,The Strokes,"Rock garage revival com atitude. Uma lufada de ar fresco."
Funeral,Arcade Fire,"Épico e emocionante. Um álbum sobre perda e esperança."
Discovery,Daft Punk,"Uma viagem pela disco music e o synth-pop. Divertido e viciante."
Jagged Little Pill,Alanis Morissette,"Raiva, vulnerabilidade e honestidade. Um marco do rock feminino."
Hot Fuss,The Killers,"Indie rock com influências oitentistas. Hinos para cantar junto."
Yoshimi Battles the Pink Robots,The Flaming Lips,"Psicodelia, melodia e letras surreais. Uma experiência única."
The Queen Is Dead,The Smiths,"Humor ácido, letras inteligentes e melodias melancólicas. Um clássico indie."
Modern Vampires of the City,Vampire Weekend,"Indie rock sofisticado e letras inteligentes. Uma banda para prestar atenção."
Channel Orange,Frank Ocean,"R&B experimental e letras honestas. Um artista singular."
