NOME DO ÁLBUM,ARTISTA,COMENTÁRIO,GÊNERO,EMOÇÃO,RESUMO
Let It Be,The Beatles,"Uma obra-prima atemporal. Essencial.",Rock,Entusiasmado,Atemporal.
Legião Urbana V,Legião Urbana,"Voz e letras poderosas. Um álbum emocionante.",Rock,Entusiasmado,Vozes fortes.
Back to Black,Amy Winehouse,"Uma dor transformada em arte. Voz inconfundível.",Soul,Triste,Dor em arte.
Thriller,Michael Jackson,"O rei do pop no auge. Clássicos incontestáveis.",Pop,Entusiasmado,Rei no auge.
Nevermind,Nirvana,"O grunge que mudou o mundo. Cru e visceral.",Rock,Neutro,Grunge global.
OK Computer,Radiohead,"Distópico e inovador. Um marco da música alternativa.",Rock,Neutro,Distópico.
Purple Rain,Prince,"Uma mistura explosiva de funk, rock e pop. Genial.",Funk,Entusiasmado,Mistura fatal.
The Joshua Tree,U2,"Hinos para estádio e letras profundas. Grandioso.",Rock,Neutro,Hinos profundos.
Rumours,Fleetwood Mac,"Um álbum sobre amor, perda e superação. Perfeito.",Rock,Triste,Amor e perda.
Born to Run,Bruce Springsteen,"A alma americana em canções. Uma ode à liberdade.",Rock,Entusiasmado,Alma livre.
Appetite for Destruction,Guns N' Roses,"Rock n' roll cru e sem concessões. Viciante.",Rock,Neutro,Rock cru.
Illmatic,Nas,"Poesia urbana em forma de rap. Um clássico do hip-hop.",Hip-Hop,Neutro,Poesia rap.
The Miseducation of Lauryn Hill,Lauryn Hill,"Um álbum de R&B com letras conscientes e poderosas.",R&B,Entusiasmado,R&B conciente.
Grace,Jeff Buckley,"Uma voz angelical e interpretações apaixonadas. Inesquecível.",Rock,Neutro,Voz angelical.
London Calling,The Clash,"Punk rock com influências diversas. Uma declaração política.",Punk,Neutro,Declaração.
Pet Sounds,The Beach Boys,"Uma obra-prima da produção musical. Inovador e melancólico.",Pop,Neutro,Inovador.
Blonde on Blonde,Bob Dylan,"Poesia em estado bruto. Letras complexas e melodias cativantes.",Folk,Neutro,Poesia crua.
What's Going On,Marvin Gaye,"Um álbum de soul com mensagens sociais importantes.",Soul,Neutro,Soul social.
Blue,Joni Mitchell,"Confessional e intimista. Uma viagem pela alma da artista.",Folk,Triste,Intimista.
Revolver,The Beatles,"Experimentação sonora e letras inventivas. Psicodelia pura.",Rock,Neutro,Psicodélico.
Remain in Light,Talking Heads,"Funk, rock e ritmos africanos. Uma explosão de criatividade.",Rock,Entusiasmado,Explosão.
Is This It,The Strokes,"Rock garage revival com atitude. Uma lufada de ar fresco.",Rock,Neutro,Ar fresco.
Funeral,Arcade Fire,"Épico e emocionante. Um álbum sobre perda e esperança.",Rock,Triste,Perda e fé.
Discovery,Daft Punk,"Uma viagem pela disco music e o synth-pop. Divertido e viciante.",Eletrônica,Feliz,Divertido.
Jagged Little Pill,Alanis Morissette,"Raiva, vulnerabilidade e honestidade. Um marco do rock feminino.",Rock,Neutro,Rock Fem.
Hot Fuss,The Killers,"Indie rock com influências oitentistas. Hinos para cantar junto.",Rock,Neutro,Rock 80's.
Yoshimi Battles the Pink Robots,The Flaming Lips,"Psicodelia, melodia e letras surreais. Uma experiência única.",Rock,Neutro,Surreal.
The Queen Is Dead,The Smiths,"Humor ácido, letras inteligentes e melodias melancólicas. Um clássico indie.",Indie,Neutro,Humor ácido.
Modern Vampires of the City,Vampire Weekend,"Indie rock sofisticado e letras inteligentes. Uma banda para prestar atenção.",Indie,Neutro,Sofisticado.
Channel Orange,Frank Ocean,"R&B experimental e letras honestas. Um artista singular.",R&B,Neutro,Singular.
